,리뷰,평점
254,"음... 리뷰가 너무 좋길래 스토리 전혀 모르고 예고편도 안본채로 봐서 그런가? 기대했던 전쟁씬은 없고, 스토리는 너무 뻔하고, 음향 이런걸로 쓸데없는 긴장이나 주고... 뭐 영화관에서 봤으면 멋지긴 했겠지만? 전쟁...",6
255,전쟁의 비효율성과 처절한 참호전을 너무나도 잘 보여준다. 기가 막힌 ost는 덤.,9
256,사실...시간때우기용으로 상영시간이 한참 지난뒤 들어갔어요..어떤 배우가 나오는지 어떤 내용인지도 전혀 모르고...다음에 시간 내서 처음부터 다시 볼거에요...아들 가진 엄마로써 가슴이 먹먹해지고 시간가는줄 모르고 ...,10
257,"아주 아주 아주 멋진 롱테이크!! 몇번을 봐도 대단하다. 하지만 영화로서의 스토리나 에피소드, 흥미요소 등등 너무 빈약하다. 오직 롱테이크 하나만 믿고 어거지로 밀어붙인 느낌",5
258,기생충 개인적으로 최고였다하지만 오스카 작품상은 이 영화가 받았어야 하지 않았나 싶다몇해전 버드맨의 롱테이크도 지렸는데1917 롱테이크는 진짜 미쳤다,10
259,숨막히게 느껴지는 전쟁의 참혹함,9
260,그냥 이영화는 미쳤다 완벽하다..,10
261,"전쟁을 소재로 했는데 영상이 아름다운 부분이 많아서 감동이면서도 이질적이기도ㅠ 그리고 촬영, 연출에 공들인 티가 나는 영화더라구요.. 중반부 이후에 빛과 그림자로 대비되는 영상부분이 아주 인상깊었어요....코로나때문...",9
262,"영화 전체가 3~4 테이크 정도로 이어짐, 슈퍼롱테이크라고 해야 할듯. 마치 끝나지 않는 내 군생활을,,,,  끊기지 않는 카메라에 담아낸듯했다. 마치 내 군생활을 본것 같아서 너무 리얼했다. 극장에서 보는데 총소리...",10
263,기생충이 이 영화를 제끼고 오스카상을 받았다니... 놀랄 일이다.,10
264,넷플릭스로 봤는데 너무 재밌었음.보통 전쟁영화보면 조는데 보는 동안 눈 하나 깜빡인 적이 없었음.,10
265,초반부는 숨막힐 정도로 몰입감이 있음.근데 독일군들이 스톰트루퍼급 에임을 가지고 있어서 긴장감이 갈수록 떨어진다는게 단점그래도 극장서 보기엔 좋은 영화. 집에서 보기엔 비추,8
266,"연출력이 정말 압권입니다. 절대 선을 넘지않는 감정선과 흔해빠진신파, 우리나라 영화에서는 흔하게 보여줄 촌스런 감정표현.. 전혀없습니다..극장에서 봐야할 영화입니다.. 샘멘데스감독이 007스카이폴이후 또 대박을 치네...",10
267,'코로나'라는 글로벌 위기 때문에 상대적으로 한국에서 빛을 못 본듯하여 너무나도 아쉬운 영화. 시작부터 끝까지 원테이크 촬영을 고수하며 탄탄한 연출과 주고자하는 메시지를 명확하게 전달하는 방법으로 기생...,10
268,와 이거 원테이크 너무 좋았어요 몰입감 장난 아니네요,10
269,전쟁영화 찾아보는 메니아인데 지루하다. 임펙트가 없어.라이언일병구하기>진주만>덩케르크>핵소고지>1917(굳이넣자면.)정도인듯. 전쟁영화는 영화관에서 봐야 한다는 생각으로 봤는데.영화관에서 이정도...,7
270,기생충따위랑 견줄 수 없는 영화,10
271,,10
272,용산 아이맥스에서 n회차 뛰었습니다. 인생 영화 등극,10
273,"장군이라는 작자가 통신이 안된다고 딸랑2명만 보내는게 맞어?그것도 일병만 둘? 영화만드는 감독 군대 안갔을거 같네요.1600명을 살리겠다고 보내는게 아니라 그냥 죽으라고 보냈어라고 시늉만한거 같음,마지막 부분에서 완...",7
274,내가 전쟁터에 있는 것 일까 영화관에 있는 것 일까,9
275,이건 극장에서 봐야되요..,10
276,,10
277,"원테이크 기법, 연출, 연기 좋은건 알겠는데 평이 과장된 부분이 없지 않아 있는듯 싶다. 전쟁영화 안 좋아하는 사람들도 좋아하길래 봤는데 나쁘진 않았음. 그런데 최고까지는 아님.. 그냥 한번쯤 볼만하다 정도인듯.",8
278,전쟁 영화를 별로 안좋아해서 기대 하나도 안하고 봤는데 진짜 끝까지 긴장감 있고 재밌었습니다!!,10
279,"원테이크 기법이라는 신기함.뿐만 아니라 내용 자체도 매우 훌륭함.코로나 때문에 극장이 텅텅 비어서 편한게 볼 수 있었는데, 이런 환경과는 반대로 계속 긴장하면서 봐야하는 영화임.",10
280,시작부터 끝까지 감정몰입 장난아녔어용..이런 영화 처음이에요. 평점을 낮게주는 사람들에게 화가나네요혹시나 그평점을 보고 안보게되는 안타까운 사람들이 생길까봐..오늘 남자친구랑8주년이 였어요. 오늘같은날 이런 인생영화...,10
281,코로나때문에 아이맥스로 못본게 넘나 속상.... 방구석에서 봐도 최곱니다요 ㅠㅠ,10
282,앵글이 주는 긴장감. 정말 지옥과 같은 전장의 묘사. 완벽한 전쟁영화,10
283,1917 2편을 제작한다면 힌덴부르크 선으로 후퇴 명령을 하달하는 독일군 시점으로 제작했으면 좋겠다 ㅎㅎ,10
284,이것도 영화냐 돈 환불 해라...,2
285,정날 좋은작품이다좋은작품인데 재미는없다,4
286,우효~~~쵸럭키 겟또다제!,10
287,집에서 유튜브로 결제해서 봤는데 왜 영화관에서 영화를 본거 같은 기분이 드는거죠?,9
288,"영상미와 연출만으로도 볼만한영화,  사실적 현장감과 시각적인 감동을 주는영화",8
289,그는 영문도 모른채 위험하고 포기할수도 있는  임무를 묵묵히 수행중이다.우리도 영문도 모른채 태어났다...,10
290,실제로 내가  2차세계대전을 직접 치루고 있는 듯한 느낌을 받았습니다. ost도 좋았습니다. 강추입니다!!,10
291,"왜 평점이 높을까요? 전쟁 영화도 아니고, 감동도 전혀 없고,,,,스토리가 좋지도 않고...",4
292,,10
293,잔혹한 1차대전을 이렇게 스릴 넘치게 담아낸게 너무 대단하게 느껴지네요,10
294,,10
295,미쳤다...이시국의 숨겨진 걸작,10
296,평점을 지들 취향 아니라고 1점 때리네 그리고 지들 취향아니니까  보지말랜다 ㅋㅋㅋ,9
297,"1차세계대전이 얼마나 끔찍했는지 그대로 보여주는 영화이다 철조망, 참호, 기관총, 포탄 등 무기는 현대식인데 전투방식은 중세시대",10
298,"나와 안 맞는 영화, 노잼, 절대 보지 말 것",1
299,크나큰 감동까지는 아니였으나 영화를 통해 전달하고자 하는 메세지는 느껴졌음. 영화촬영에 대한 전문적인 지식은 가지고 있지 않으나 참 독특하게(?)친근감있게 잘 찍었다는 느낌을 받았음.,9
300,정말 훌륭하네요~^^,10
301,긋긋긋~!~!긋긋긋,10
302,전쟁영화 매니아인데 그럴듯한 전투씬 하나 없고 감동도 크게 없네요. 모든면에서 라이언일병구하기의 반의반의반도 안됩니다. 많이 실망했네요. 평점조절을 위해 1점 줍니다.,1
303,슈퍼 울트라 롱테이크편집은 쉬우나 연기는 어려웠을듯리얼리티의 극치를 보여줍니다,10
304,단순한 스토리 뛰어난 영상미 큰 전투없이 스릴감 있으며 지루할법도 한데 이외로 지루하지 않은 영화,9
305,이런 대작이랑 우리나라영화 지푸라기잡고 머시기랑 같이 개봉했다는게 챙피하다..ㅈㅁ,10
306,하룻밤에 일어난 일인가. 목숨걸고 지켜낸 1600명인데 마무리가 조금 허전하기도 하다.,9
307,기대한것에 못미침~전쟁영화의 본질에 다가가지못한 영화,7
308,현장에 있는 듯 실감나는 연출(주인공을 따라가는 듯한 롱테이크 연출)과 배우들의 연기가 인상깊었다.,10
309,"친구도 잃고 몸도 다쳐가면서 명령서를 전달하는 임무를 마치고 허탈한 표정으로 나무에 걸터 앉은 녹색 눈의 군인 앞에 펼쳐진 녹색 들판 ,생명을 불어 넣는 듯한 바이올린 선율, 말이 필요없다.",10
310,코로나 때문에 개봉일은 2달이 다되어가는데 관객수는 100만도 못넘기는 코메디...,10
311,저는 좀 루즈했어요 개인적으로,8
312,영화를 보는내내 언제 죽을지 모른다는 두려움과 긴장감에 사로잡혀있었다.,10
313,,10
314,내용은중간에 보다 말았어요.. 좀 지루한면이 있어서... 시간  될때 다시 한번 봐야겠어요...,6
315,한국영화는 똥이다 감독 배우 투자사 배급사 반성해라,10
316,,9
317,,10
318,,1
319,간만에 괜찮은 전쟁 영화다 아니 수작이지 싶다 원테이크로 이어지는듯한 연출도 놀라웠지만 소품이랄까 그래봐야 널부러진 시체가 대부분이지만 디테일이 OOO 장난아니다 개인작으로 제일 마음에 들었던 장면을 꼽자면 강에 떠...,10
320,평점 믿고 우겨서 보자고했다...코로나때문에 집에서 결재해서 봤는데... 배우자 한테 얻어터져서 피가 코로나 올뻔했다... 그래도 원테이크촬영 기법은 신기하고 궁금하지않냐고 했더니 소주잔이 내 코앞까지 날아왔다......,2
321,걸작을 넘어선 역작.전쟁의 참혹함을 눈 앞에서 그대로 보여준다.,10
322,다들평론가이신건지.. 롱테이크..촬영어쩌구하는데 그냥 재미없고지루하다... 긴장감은있었으나 라이언일병구하기나 진주만같은 전쟁영화를좋아한다면 이건그냥..  흠. ..나는 시간이너무아까웠음,4
323,원테이크처럼 찍은 건 새롭습니다. 솔직히 너무 재밌거나 너무 감동적이진 않습니다. 그냥 지금 내가 살아내고 있는 삶이 전쟁이구나 라는 걸 느끼게 해 주는 '전쟁영화'입니다.,7
324,왜 다들 칭찬뿐이지??? 정말 재미없다!!  최근 본 영화중 손에 꼽힐정도!! 여기 리뷰에 속지마시길!!,2
325,,2
326,무족권 아이맥스 무족권 영화관,10
327,"1917년 4월 6일, 참혹하고 처절했던 그날.",10
328,"전쟁 속에도 평화롭게, 나무에 기댄 그의 모습",10
329,전쟁의 참혹함과 이렇게 전쟁을 현대적으로 표현 할 수 있다는게 대단할 뿐이다.,10
330,기생충이 없었다면 이 영화가 오스카 수상했을것이다,10
331,세번 네번 보고싶은 영화였다,10
332,영화를 보는 내내 저 전쟁터에 같이 숨쉬고 있는 느낌을 받는다. 그리고 영화가 끝나고 상영관을 걸어 나오며 생각한다. 어떻게 저렇게 촬영했을까.. 좋은 전쟁영화들이 많이 있지만 1917은 그 중에서도 으뜸이다.,10
333,너무 몰입이 잘된 영화였습니다,10
334,촬영방법이 진짜 혁명적이고 롱테이크로 촬영 했음에도 지루하지 않게 하는 연출이 대단한 영화!!!,10
335,1인칭 게임 속에 주인공은 이런 느낌일까?,10
336,너무 재미없음 지루함 ....,1
337,보자마자 생각 한 것 : 소장해야겠다.,10
338,"""Come back to me"" 그 당시 수많은 병사 중 집으로 돌아간 이는 몇이나 될까?",9
339,어떻게 이 영화를 기생충이 앞섰는지 도무지 이해가 안된다. 근래 보기드문 수작으로 독특한 영상미도 극사실적인 전쟁 묘사도 오래 오래 잊히지 않을 것 같다.,10
340,잘 봤씁니다,10
341,재미있습니다.,10
342,돈으로 쳐바른 짜파구리 영화땜에 작품상을 놓친 명작,10
343,"지휘관의 관점이 아닌, 병사의 관점으로 임무를 수행하고 전쟁을 보는 그런 영화입니다.",8
344,롱테이크 진짜 대박ㄷㄷㄷㄷ 현장에 있는줄...,10
345,촬영기술의 극한을 보여준다,10
346,어느 것 하나 빼놓을 수 없이 아름답고 경이롭고 슬프고 참혹하다. 기생충 따위가 이 영화를 어떻게 이길 수 있는지 의아스러움,10
347,예고편도 안보고 아무 정보도 없이 본 영화인데 와.. 연출 예술이었어요 영화 보는 중간에 감독 누구지 와.. 영혼을 갈아넣었네 이 생각 뿐,10
348,내인생 최고의 영화.,10
349,몰입감이나 배경음악이나 영상미나 뭐 하나 모자란게 없다. 두번볼거임.,10
350,현실성(?)이 살짝 떨어집니다. 이동할때 숙여서 이동해야하는데 반 높이 서서 걸어다니고 ㅋㅋㅋ 그래도 스케일 하난 쥑입니다.,10
351,국가를 위해 희생해 준 모든 분들께 감사합니다,10
352,나는 두시간 동안 전쟁터에 있었다.,10
353,"영화 처음, 눈뜨는 스코필드. 영화 마지막, 눈감는 스코필드.",10
354,결말이 심심하다더니담백하고 절제된 연출이 설득력 있게 느껴졌습니다그 자리에 있는 듯한 연출력과 몰입감에 감탄을 금할 수가 없었습니다..,10
355,코로나 때문에 좋은 영화 집에 본게 개탄스럽다.난 백년 전에 같이 달리고 있었다.,10
356,,10
357,처음부터 끝까지 흥미롭고 정말 잘 찍었네요영상이 조금 선명하지 않은 부분이 있지만보길 잘했다고 생각합니다.,10
358,그냥 tv영화로나  보고 말 작품.,4
359,영화 촬영들어가기전 4개월동안 주연배우들과 촬영감독과시나리오대로 동선연습을 열심히 한 결과물!!영화를 보시라. 말이 필요없다,10
360,스토리는 별거 없음. 근데 연출 사운드 지림. 약간 게임 3인칭으로 할때 그런느낌이였음. 이건 진짜 영화관가서 봐야함. 집에서 보면 그냥 그렇다고 할 작품,9
361,영화가 너무 적나라하게 표현됨. (잔인한 요소들) 보다가 토했음. 영상의 무빙은 좋았으나 어지러움. 결말 허무맹랑. ㅋㅋ영화는 무슨 그냥 집에나 있자~~!,2
362,,9
363,간만에 진짜 영화 본 느낌이네,9
364,진짜 영화에 빨려들어갔어요... 잘 봤습니다.,10
365,,10
366,코로나 끝나면 재개봉 부탁드립니다.. 꼭 영화관에서 봐야 할 영화,10
367,"편집, 촬영, 연기 모두 완벽했어요! 많은 것이 담긴 영화였습니다",10
368,첫 장면이 잊혀지지 않는다. 첫장면이 잊혀지지 않는영화는 처음이다.,10
369,이걸 영화라고....보면서 스트레스 받긴 첨....댓글 알바들이 있긴 하네요.속지 마시길..,1
370,잘 보았습니다,9
371,끝내준다. 주인공과 함께 움직인다 느낌을 정확하게 전달한다,9
372,진짜 전쟁영화 좋아하는데 세손가락안에 꼽힐정도로 미친몰입감으로 본영화....브금 상황 연기 그모든것이 하나인것처럼 마치 1차세계대전 그 한복판에 있는 착각을 줄정도로 연출을 기가막히게 한 영화...두번보고 오늘 다시...,10
